id,name,description,price,stock
1,Rice,1 kilogram package of white rice,2.51,130.91
2,Black beans,500 gram package of black beans,1.95,55.86
3,Oil,1 liter bottle of vegetable oil,4.29,86.46
4,Milk,1 liter bottle of skim milk,2.04,32.12
5,Eggs,Dozen fresh eggs,2.84,32.96
6,Bread,White sandwich bread,1.35,73.52
7,Cheese,Fresh cow cheese,3.44,30.18
8,Ham,200 gram package of cooked ham,3.37,17.22
9,Tuna,Can of tuna in olive oil,2.12,19.61
10,Pasta,500 gram package of short pasta,0.83,68.17
11,Tomato sauce,500 gram jar of tomato sauce,1.4,47.57
12,Coffee,250 gram package of ground coffee,5.88,9.89
13,Sugar,1 kilogram package of white sugar,1.18,79.55
14,Salt,1 kilogram package of fine salt,0.78,113.38
15,Vinegar,500 ml bottle of apple cider vinegar,1.8,58.42
16,Orange juice,1 liter bottle of natural orange juice,3.75,42.41
17,Soda,2 liter bottle of cola soda,1.34,23.44
18,Potato chips,200 gram bag of potato chips,1.13,50.51
19,Cookies,250 gram package of oatmeal cookies,1.68,62.91
20,Gum,10 piece pack of mint gum,0.47,106.56
