id,name,description,price,stock
1,Rice,1 kilogram package of white rice,2.74,134.69
2,Black beans,500 gram package of black beans,1.95,49.2
3,Oil,1 liter bottle of vegetable oil,4.74,89.29
4,Milk,1 liter bottle of skim milk,2.22,31.36
5,Eggs,Dozen fresh eggs,3.26,49.77
6,Bread,White sandwich bread,1.25,61.94
7,Cheese,Fresh cow cheese,2.82,38.3
8,Ham,200 gram package of cooked ham,2.46,29.17
9,Tuna,Can of tuna in olive oil,2.27,20.22
10,Pasta,500 gram package of short pasta,0.76,93.03
11,Tomato sauce,500 gram jar of tomato sauce,1.62,65.4
12,Coffee,250 gram package of ground coffee,5.51,9.56
13,Sugar,1 kilogram package of white sugar,1.19,77.39
14,Salt,1 kilogram package of fine salt,0.97,122.42
15,Vinegar,500 ml bottle of apple cider vinegar,1.77,58.78
16,Orange juice,1 liter bottle of natural orange juice,2.97,46.73
17,Soda,2 liter bottle of cola soda,1.35,22.33
18,Potato chips,200 gram bag of potato chips,0.97,85.29
19,Cookies,250 gram package of oatmeal cookies,1.79,66.63
20,Gum,10 piece pack of mint gum,0.5,134.58
