id,name,description,price,stock
1,Rice,1 kilogram package of white rice,3.36,112.08
2,Black beans,500 gram package of black beans,1.81,44.37
3,Oil,1 liter bottle of vegetable oil,5.05,108.97
4,Milk,1 liter bottle of skim milk,1.81,25.01
5,Eggs,Dozen fresh eggs,3.81,35.46
6,Bread,White sandwich bread,1.16,66.46
7,Cheese,Fresh cow cheese,3.76,26.5
8,Ham,200 gram package of cooked ham,2.9,19.66
9,Tuna,Can of tuna in olive oil,1.87,17.29
10,Pasta,500 gram package of short pasta,0.95,70.73
11,Tomato sauce,500 gram jar of tomato sauce,1.77,46.63
12,Coffee,250 gram package of ground coffee,4.81,13.33
13,Sugar,1 kilogram package of white sugar,1.67,73.32
14,Salt,1 kilogram package of fine salt,0.91,98.55
15,Vinegar,500 ml bottle of apple cider vinegar,1.77,64.34
16,Orange juice,1 liter bottle of natural orange juice,4.04,44.91
17,Soda,2 liter bottle of cola soda,1.68,25.11
18,Potato chips,200 gram bag of potato chips,0.84,81.92
19,Cookies,250 gram package of oatmeal cookies,1.41,59.56
20,Gum,10 piece pack of mint gum,0.61,137.51
